tx_period_max,cl_period_max,periodicity,duty_cycle,rf_label
18.0,10.0,1.1428571428571428,0.5625,BL_Beacon
1.0,8.0,3.5555555555555554,0.21875,BL_Stream
1.0,25.0,1.2307692307692308,0.03125,BL_Beacon
16.0,1.0,1.8823529411764706,0.96875,WiFi_Stream
5.0,6.0,2.909090909090909,0.4375,BL_Stream
22.0,1.0,1.391304347826087,0.9375,WiFi_Stream
23.0,1.0,1.3333333333333333,0.9375,WiFi_Stream
8.0,6.0,2.2857142857142856,0.5,BL_Stream
2.0,9.0,2.909090909090909,0.3125,BL_Stream
18.0,8.0,1.2307692307692308,0.5625,BL_Beacon
6.0,20.0,1.2307692307692308,0.25,BL_Beacon
2.0,29.0,1.032258064516129,0.0625,BL_Beacon
3.0,11.0,2.2857142857142856,0.40625,BL_Stream
3.0,7.0,3.2,0.34375,BL_Stream
3.0,6.0,3.5555555555555554,0.375,BL_Stream
2.0,16.0,1.7777777777777777,0.0625,BL_Beacon
1.0,5.0,5.333333333333333,0.25,BL_Stream
14.0,3.0,1.8823529411764706,0.6875,Microwave_Oven
2.0,18.0,1.6,0.09375,WiFi_Beacon
2.0,18.0,1.6,0.0625,BL_Beacon
2.0,6.0,4.0,0.25,BL_Stream
2.0,11.0,2.4615384615384617,0.21875,BL_Stream
8.0,9.0,1.8823529411764706,0.4375,BL_Beacon
7.0,9.0,2.0,0.34375,Microwave_Oven
3.0,26.0,1.103448275862069,0.15625,Microwave_Oven
3.0,4.0,4.571428571428571,0.375,BL_Stream
1.0,8.0,3.5555555555555554,0.15625,BL_Stream
1.0,18.0,1.6842105263157894,0.125,WiFi_Beacon
1.0,10.0,2.909090909090909,0.09375,BL_Stream
5.0,8.0,2.4615384615384617,0.3125,BL_Stream
3.0,9.0,2.6666666666666665,0.1875,BL_Stream
18.0,14.0,1.0,0.5625,BL_Beacon
1.0,12.0,2.4615384615384617,0.0625,WiFi_Beacon
14.0,18.0,1.0,0.4375,BL_Beacon
1.0,16.0,1.8823529411764706,0.03125,BL_Beacon
32.0,0.0,1.0,1.0,Microwave_Oven
3.0,16.0,1.6842105263157894,0.25,BL_Stream
16.0,13.0,1.103448275862069,0.5625,Microwave_Oven
17.0,15.0,1.0,0.53125,BL_Beacon
10.0,5.0,2.1333333333333333,0.65625,Microwave_Oven
25.0,7.0,1.0,0.78125,Microwave_Oven
4.0,6.0,3.2,0.5625,BL_Stream
10.0,4.0,2.2857142857142856,0.5625,Microwave_Oven
2.0,14.0,2.0,0.1875,BL_Stream
1.0,28.0,1.103448275862069,0.03125,BL_Beacon
3.0,6.0,3.5555555555555554,0.28125,BL_Stream
3.0,5.0,4.0,0.375,BL_Stream
2.0,6.0,4.0,0.3125,BL_Stream
3.0,4.0,4.571428571428571,0.5,BL_Stream
2.0,12.0,2.2857142857142856,0.1875,BL_Stream
9.0,13.0,1.4545454545454546,0.3125,Microwave_Oven
2.0,20.0,1.4545454545454546,0.125,WiFi_Beacon
5.0,27.0,1.0,0.15625,Microwave_Oven
1.0,8.0,3.5555555555555554,0.09375,BL_Stream
4.0,3.0,4.571428571428571,0.40625,BL_Stream
3.0,11.0,2.2857142857142856,0.28125,BL_Stream
6.0,8.0,2.2857142857142856,0.5,Microwave_Oven
2.0,10.0,2.6666666666666665,0.15625,BL_Stream
5.0,6.0,2.909090909090909,0.53125,BL_Stream
2.0,6.0,4.0,0.34375,BL_Stream
2.0,16.0,1.7777777777777777,0.09375,WiFi_Beacon
8.0,4.0,2.6666666666666665,0.5625,BL_Stream
3.0,8.0,2.909090909090909,0.34375,BL_Stream
3.0,9.0,2.6666666666666665,0.21875,BL_Stream
19.0,1.0,1.6,0.96875,WiFi_Stream
2.0,6.0,4.0,0.28125,BL_Stream
7.0,16.0,1.391304347826087,0.40625,Microwave_Oven
5.0,8.0,2.4615384615384617,0.4375,BL_Stream
3.0,5.0,4.0,0.5,BL_Stream
8.0,5.0,2.4615384615384617,0.5625,BL_Stream
3.0,5.0,4.0,0.40625,BL_Stream
